FPKM.S16F,FPKM.S19F,FPKM.S22F,FPKM.S29F,FPKM.S35F,FPKM.S36F,FPKM.S39F,FPKM.S3F,FPKM.S41F,FPKM.S44F,FPKM.S50F,FPKM.S52F,FPKM.S53F,FPKM.S54F,FPKM.S76F,FPKM.S77F,female_sum_transcript_counts,female_median_transcript_counts,female_mean_transcript_counts,female_max_transcript_counts,female_min_transcript_counts,female_std_dev_transcript_counts
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,0,1,1,0,0,0,1,1,1,0,1,0,1,1,0,9,1,1.05555555555556,9,0,2.57791575073194
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,32,2,3.66666666666667,32,2,9.00470188760606
0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,6,0,0.666666666666667,6,0,1.75857686570493
1,1,3,2,3,2,1,1,2,2,2,2,3,3,2,1,31,2,3.55555555555556,31,1,8.76548600226862
1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,14,1,1.61111111111111,14,0,3.96753432628094
1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,18,1,2.05555555555556,18,1,5.07803016519325
0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.61111111111111,14,0,3.96753432628094
2,2,2,3,2,2,2,2,2,3,2,3,2,3,2,2,36,2,4.11111111111111,36,2,10.146209214995
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
2,1,1,1,2,1,2,1,2,1,1,2,1,2,1,1,22,1,2.5,22,1,6.21920987172578
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,2,2,2,3,2,1,3,4,3,3,4,2,3,3,2,40,3,4.61111111111111,40,1,11.3039912207639
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,5,0,0.555555555555556,5,0,1.4796284707732
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,14,1,1.61111111111111,14,0,3.96753432628094
0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,11,1,1.27777777777778,11,0,3.13344684397943
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,15,1,1.72222222222222,15,0,4.24569152570604
2,3,3,2,3,3,2,2,2,2,3,2,3,2,2,3,39,2,4.44444444444444,39,2,10.9986477710887
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,15,1,1.72222222222222,15,0,4.24569152570604
5,1,4,4,2,2,2,2,3,3,3,2,2,2,3,2,42,2,4.77777777777778,42,1,11.8945642390217
1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,4,0,0.444444444444444,4,0,1.20048001373388
2,2,2,2,1,2,2,2,2,2,3,3,2,2,2,2,33,2,3.77777777777778,33,1,9.31521610209911
0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,4,0,0.444444444444444,4,0,1.20048001373388
0,0,1,2,2,0,0,0,2,2,2,2,1,1,0,0,15,1,1.72222222222222,15,0,4.31577299350326
0,0,0,1,1,1,0,0,1,1,0,1,0,1,1,1,9,1,1.05555555555556,9,0,2.57791575073194
0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,5,0,0.555555555555556,5,0,1.4796284707732
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,6,0,0.666666666666667,6,0,1.75857686570493
1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,5,0,0.555555555555556,5,0,1.4796284707732
2,3,3,3,3,2,4,3,3,2,3,4,4,3,3,2,47,3,5.38888888888889,47,2,13.2545811409795
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,13,1,1.5,13,0,3.68943149575985
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,19,1,2.16666666666667,19,1,5.3643936821154
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,15,1,1.72222222222222,15,0,4.24569152570604
1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,11,1,1.27777777777778,11,0,3.13344684397943
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0.222222222222222,2,0,0.640537325878533
1,2,2,1,1,1,2,2,1,2,2,1,2,1,2,1,24,2,2.77777777777778,24,1,6.76997121766894
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,14,1,1.61111111111111,14,0,3.96753432628094
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,32,2,3.66666666666667,32,2,9.00470188760606
0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,14,1,1.61111111111111,14,0,3.96753432628094
1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,5,0,0.555555555555556,5,0,1.4796284707732
4,2,4,4,3,4,3,3,5,3,4,5,4,4,2,3,57,4,6.55555555555556,57,2,16.0803665785458
1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,19,1,2.16666666666667,19,1,5.3643936821154
2,1,1,2,2,2,2,1,1,1,2,2,1,2,2,2,26,2,3,26,1,7.3348483283569
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
17,17,15,17,16,14,14,14,16,16,16,14,13,17,15,16,247,16,28.3333333333333,247,13,69.5469047310659
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,4,0,0.444444444444444,4,0,1.20048001373388
0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,4,0,0.444444444444444,4,0,1.20048001373388
2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,20,1,2.27777777777778,20,1,5.64997281654951
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,15,1,1.72222222222222,15,0,4.24569152570604
1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,6,0,0.666666666666667,6,0,1.75857686570493
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,6,0,0.666666666666667,6,0,1.75857686570493
2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,31,2,3.55555555555556,31,1,8.74263946734435
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,4,0,0.444444444444444,4,0,1.20048001373388
4,2,4,5,3,2,3,3,4,5,2,5,4,3,5,4,58,4,6.66666666666667,58,2,16.3725153613994
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0.333333333333333,3,0,0.920949590448982
1,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,28,2,3.22222222222222,28,1,7.89861164025814
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0.444444444444444,4,0,1.20048001373388
1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,0,11,1,1.27777777777778,11,0,3.13344684397943
0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,14,1,1.61111111111111,14,0,3.96753432628094
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
0,0,0,2,0,0,0,0,2,0,0,0,0,1,1,0,6,0,0.666666666666667,6,0,1.81455024526536
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,15,1,1.72222222222222,15,0,4.24569152570604
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,7,0,0.777777777777778,7,0,2.03740737374349
0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,4,0,0.444444444444444,4,0,1.20048001373388
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,0,9,1,1.05555555555556,9,0,2.57791575073194
1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,1,9,1,1.05555555555556,9,0,2.57791575073194
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
16,9,10,15,12,9,13,14,13,19,14,19,11,15,6,9,204,13,23.3888888888889,204,6,57.6170036222641
0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,12,1,1.38888888888889,12,0,3.41139633090525
3,4,4,4,5,4,3,6,4,3,4,5,5,4,4,6,68,4,7.77777777777778,68,3,19.1784635116846
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
0,0,1,2,0,0,0,1,1,0,0,1,0,0,0,1,7,0,0.777777777777778,7,0,2.06180231995804
1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,17,1,1.94444444444444,17,1,4.79074160996264
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,15,1,1.72222222222222,15,0,4.24569152570604
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0.222222222222222,2,0,0.640537325878533
1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,12,1,1.38888888888889,12,0,3.41139633090525
2,1,2,2,2,1,2,1,2,2,2,4,1,2,1,2,29,2,3.33333333333333,29,1,8.19846417414962
1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,15,1,1.72222222222222,15,0,4.24569152570604
0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,12,1,1.38888888888889,12,0,3.41139633090525
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,14,1,1.61111111111111,14,0,3.96753432628094
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
4,3,3,4,4,2,4,3,4,3,4,4,3,4,2,3,54,4,6.22222222222222,54,2,15.223857711546
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,2,2,1,1,2,1,1,1,2,2,1,2,1,1,22,1,2.5,22,1,6.21920987172578
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
2,3,2,3,1,1,1,1,2,6,4,2,2,1,2,1,34,2,3.88888888888889,34,1,9.66311130871465
0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,7,0,0.777777777777778,7,0,2.03740737374349
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
2,3,3,2,3,3,2,3,2,3,1,1,2,2,2,2,36,2,4.11111111111111,36,1,10.1757599487694
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
2,1,0,1,1,1,0,1,1,2,1,2,1,1,1,1,17,1,1.94444444444444,17,0,4.83326643510232
0,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,8,1,0.944444444444444,8,0,2.30042298592414
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,13,1,1.5,13,0,3.68943149575985
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,14,1,1.61111111111111,14,0,3.96753432628094
2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,31,2,3.55555555555556,31,1,8.74263946734435
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,47,3,5.38888888888889,47,2,13.2432594636974
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,1,1.72222222222222,15,0,4.24569152570604
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0.222222222222222,2,0,0.640537325878533
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,6,0,0.666666666666667,6,0,1.75857686570493
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.111111111111111,1,0,0.357172250407147
0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,5,0,0.555555555555556,5,0,1.4796284707732
1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,11,1,1.27777777777778,11,0,3.13344684397943
1,2,1,0,1,0,1,0,2,2,1,1,1,2,0,1,16,1,1.83333333333333,16,0,4.56788884120536
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,14,1,1.61111111111111,14,0,3.96753432628094
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
3,1,3,3,3,2,3,1,3,3,3,3,1,3,3,3,41,3,4.72222222222222,41,1,11.5824727199864
0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,14,1,1.61111111111111,14,0,3.96753432628094
0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0.333333333333333,3,0,0.920949590448982
0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,5,0,0.555555555555556,5,0,1.4796284707732
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3,0,0.333333333333333,3,0,0.920949590448982
3,3,2,3,3,2,2,3,3,3,3,3,2,3,3,3,44,3,5.05555555555556,44,2,12.3968074439775
1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,29,2,3.33333333333333,29,1,8.18014760348582
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,1,1.83333333333333,16,1,4.50235094380303
0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,9,1,1.05555555555556,9,0,2.57791575073194
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0.222222222222222,2,0,0.640537325878533
0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,5,0,0.555555555555556,5,0,1.4796284707732
