FPKM.S12M,FPKM.S22F,FPKM.S23M,FPKM.S29F,FPKM.S31M,FPKM.S35F,FPKM.S36F,FPKM.S3F,FPKM.S41F,FPKM.S48M,FPKM.S50F,FPKM.S59M,FPKM.S77F,FPKM.S9M,exposed_sum_transcript_counts,exposed_median_transcript_counts,exposed_mean_transcript_counts,exposed_max_transcript_counts,exposed_min_transcript_counts,exposed_std_dev_transcript_counts
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,0,0,1,1,1,0,1,0,1,10,1,1.3125,10,0,2.96057565748356
1,2,2,2,1,2,2,2,2,1,2,2,2,1,24,2,3.125,24,1,7.02980938783121
1,0,1,1,1,0,0,0,1,1,1,1,0,1,9,1,1.1875,9,0,2.67262646104771
1,3,2,2,1,3,2,1,2,2,2,1,1,1,24,2,3.125,24,1,7.04559736654473
1,1,1,1,1,1,1,0,1,1,1,1,1,1,13,1,1.6875,13,0,3.82522323336661
3,1,3,2,2,1,1,1,1,3,1,3,1,3,26,2,3.375,26,1,7.65106751142136
1,0,1,1,1,1,1,1,1,1,1,1,1,1,13,1,1.6875,13,0,3.82522323336661
2,2,1,3,1,2,2,2,2,2,2,2,2,1,26,2,3.375,26,1,7.62196756880289
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,2,1,1,2,1,1,2,2,1,1,1,1,18,1,2.3125,18,1,5.28300204077809
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,2,1,2,2,3,2,3,4,1,3,1,2,1,28,2,3.625,28,1,8.23907769812796
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,0,1,1,1,0,1,0,0,1,0,0,0,1,7,1,0.9375,7,0,2.09745760365324
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,0,1,1,1,0,1,1,1,1,1,1,1,1,12,1,1.5625,12,0,3.53690663095336
1,1,1,1,1,1,0,1,1,1,0,1,1,1,12,1,1.5625,12,0,3.53690663095336
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,3,1,2,2,3,3,2,2,1,3,1,3,1,28,2,3.625,28,1,8.23233200282146
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
2,4,3,4,2,2,2,2,3,2,3,1,2,2,34,2,4.375,34,1,9.9958736003957
0,0,1,0,0,0,0,0,1,1,0,0,0,0,3,0,0.375,3,0,0.95785647937868
2,2,2,2,2,1,2,2,2,2,3,2,2,2,28,2,3.625,28,1,8.20529376440807
1,0,1,1,1,0,0,0,1,1,0,1,0,1,8,1,1.0625,8,0,2.38489110697014
2,1,2,2,2,2,0,0,2,2,2,2,0,2,21,2,2.75,21,0,6.20474846458516
1,0,1,1,1,1,1,0,1,1,0,1,1,1,11,1,1.4375,11,0,3.2486818345724
1,1,1,0,1,1,0,0,0,1,1,1,0,1,9,1,1.1875,9,0,2.67262646104771
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,0,1,1,3,0,1,1,0,1,0,1,1,4,15,1,1.9375,15,0,4.51421416956633
1,0,1,1,0,0,0,0,0,1,0,1,0,1,6,0,0.75,6,0,1.82664249567822
2,3,3,3,3,3,2,3,3,2,3,3,2,3,38,3,4.9375,38,2,11.1128837447473
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,0,1,0,1,12,1,1.5625,12,0,3.53690663095336
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
2,1,2,1,1,1,1,1,1,1,1,1,1,1,16,1,2.0625,16,1,4.68802141349544
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,0,1,1,1,1,1,1,1,13,1,1.6875,13,0,3.82522323336661
1,0,1,1,1,0,0,1,1,1,1,1,0,1,10,1,1.3125,10,0,2.96057565748356
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,0,1,1,1,0,0,0,0,0,0,1,0,1,6,0,0.75,6,0,1.82664249567822
1,2,1,1,1,1,1,2,1,1,2,1,1,1,17,1,2.1875,17,1,4.9860207541211
1,1,1,1,1,1,1,1,1,1,1,1,0,1,13,1,1.6875,13,0,3.82522323336661
1,2,2,2,1,2,2,2,2,1,2,1,2,1,23,2,3,23,1,6.73691063561635
1,1,1,1,1,1,1,1,1,1,0,1,1,1,13,1,1.6875,13,0,3.82522323336661
1,0,1,1,1,0,0,0,1,1,0,1,0,0,7,1,0.9375,7,0,2.09745760365324
3,4,3,4,2,3,4,3,5,4,4,3,3,4,49,4,6.375,49,2,14.3464629022982
1,2,1,1,1,1,1,2,1,2,1,1,1,1,17,1,2.1875,17,1,4.9860207541211
2,1,2,2,2,2,2,1,1,2,2,2,2,2,25,2,3.25,25,1,7.32238516887793
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
11,15,11,17,11,16,14,14,16,13,16,15,16,14,199,15,25.8125,199,11,58.1862998538301
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,0,1,0,1,0,1,1,0,1,0,1,0,1,8,1,1.0625,8,0,2.38489110697014
1,0,1,1,1,0,0,0,0,1,0,1,0,1,7,1,0.9375,7,0,2.09745760365324
1,1,2,1,1,1,1,1,1,2,1,2,2,2,19,1,2.4375,19,1,5.5791278512335
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,0,1,13,1,1.6875,13,0,3.82522323336661
1,1,1,0,1,0,1,0,0,0,1,0,0,1,7,1,0.9375,7,0,2.09745760365324
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,0,1,0,1,0,0,0,1,1,1,1,0,1,8,1,1.0625,8,0,2.38489110697014
1,2,1,2,1,2,2,2,1,2,2,2,2,1,23,2,3,23,1,6.73691063561635
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,0,0,0,0,1,0,1,0,1,8,1,1.0625,8,0,2.38489110697014
3,4,5,5,3,3,2,3,4,4,2,5,4,5,52,4,6.75,52,2,15.2439351376058
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,0,1,1,1,0,0,0,0,1,0,1,0,1,7,1,0.9375,7,0,2.09745760365324
1,2,1,2,1,2,1,1,2,1,2,1,2,1,20,1,2.5625,20,1,5.87452755659193
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,0,0,0,0,1,0,1,0,1,8,1,1.0625,8,0,2.38489110697014
1,1,1,1,1,1,1,0,1,1,1,1,0,1,12,1,1.5625,12,0,3.53690663095336
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,0,1,2,1,0,0,0,2,1,0,1,0,1,10,1,1.3125,10,0,2.99787098553397
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,0,1,1,1,13,1,1.6875,13,0,3.82522323336661
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,0,1,0,1,1,0,1,0,1,10,1,1.3125,10,0,2.96057565748356
1,0,1,0,1,0,0,0,1,1,0,1,1,1,8,1,1.0625,8,0,2.38489110697014
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,0,1,0,1,2,1,1,0,1,12,1,1.5625,12,0,3.55257929217533
1,1,1,1,1,0,0,0,1,1,0,1,1,1,10,1,1.3125,10,0,2.96057565748356
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
7,10,1,15,4,12,9,14,13,9,14,11,9,9,137,10,17.75,137,1,40.3575440240003
1,1,1,1,1,0,0,0,1,1,1,1,1,1,11,1,1.4375,11,0,3.2486818345724
4,4,4,4,2,5,4,6,4,3,4,1,6,1,52,4,6.75,52,1,15.2997940780394
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
2,1,1,2,2,0,0,1,1,2,0,1,1,2,16,1,2.0625,16,0,4.7494060301146
1,1,1,1,1,1,1,1,1,1,1,1,1,2,15,1,1.9375,15,1,4.3887966461733
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,0,1,1,1,1,1,1,1,13,1,1.6875,13,0,3.82522323336661
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,0,1,0,1,0,0,0,0,1,0,0,0,1,5,0,0.625,5,0,1.53733388300533
1,0,1,1,1,1,1,0,1,1,0,1,0,1,10,1,1.3125,10,0,2.96057565748356
1,2,2,2,1,2,1,1,2,1,2,2,2,1,22,2,2.875,22,1,6.44364486998828
1,0,1,1,1,1,1,1,1,1,1,1,1,1,13,1,1.6875,13,0,3.82522323336661
1,1,1,1,1,1,0,1,1,1,1,1,0,1,12,1,1.5625,12,0,3.53690663095336
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,0,1,13,1,1.6875,13,0,3.82522323336661
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
3,3,3,4,3,4,2,3,4,3,4,4,3,3,46,3,5.9375,46,2,13.4758225467466
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
2,2,1,2,1,1,1,1,1,2,2,2,1,1,20,1,2.5625,20,1,5.87452755659193
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,2,1,3,1,1,1,1,2,4,4,2,1,1,25,1,3.1875,25,1,7.3964603144172
1,0,1,1,1,0,0,0,1,1,0,0,1,0,7,1,0.9375,7,0,2.09745760365324
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
2,3,2,2,2,3,3,3,2,2,1,2,2,2,31,2,4,31,1,9.09726518895259
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
2,0,2,1,2,1,1,1,1,1,1,1,1,2,17,1,2.1875,17,0,5.02352151957194
1,1,1,1,1,0,0,0,1,1,1,0,0,1,9,1,1.1875,9,0,2.67262646104771
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,0,1,1,1,0,1,0,0,10,1,1.3125,10,0,2.96057565748356
1,1,1,1,1,1,0,1,1,1,1,1,0,1,12,1,1.5625,12,0,3.53690663095336
1,2,2,2,1,2,2,1,2,2,2,2,2,1,24,2,3.125,24,1,7.02980938783121
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
3,3,3,3,1,3,3,3,3,3,3,3,3,2,39,3,5.0625,39,1,11.436347527659
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,0,1,0,1,0,0,0,1,1,0,1,1,0,7,1,0.9375,7,0,2.09745760365324
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,0,1,0,0,0,0,1,0,1,0,1,7,1,0.9375,7,0,2.09745760365324
1,0,0,0,1,0,0,0,0,1,0,0,1,1,5,0,0.625,5,0,1.53733388300533
1,0,1,1,0,0,0,0,1,1,1,1,1,1,9,1,1.1875,9,0,2.67262646104771
1,1,1,1,1,0,1,0,1,0,1,0,1,1,10,1,1.3125,10,0,2.96057565748356
0,1,2,0,0,1,0,0,2,2,1,2,1,0,12,1,1.5625,12,0,3.59918781956795
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,0,0,0,1,11,1,1.4375,11,0,3.2486818345724
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
3,3,3,3,1,3,2,1,3,2,3,3,3,3,36,3,4.6875,36,1,10.56025703719
1,1,1,1,1,1,1,0,1,1,1,1,1,1,13,1,1.6875,13,0,3.82522323336661
0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0.25,2,0,0.666940733139361
1,0,1,1,1,0,0,0,0,1,0,0,0,1,6,0,0.75,6,0,1.82664249567822
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0.25,2,0,0.666940733139361
2,2,2,3,1,3,2,3,3,2,3,3,3,1,33,3,4.3125,33,1,9.67670120626756
1,2,1,2,1,2,2,2,2,1,1,2,2,1,22,2,2.875,22,1,6.44364486998828
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,0,1,1,0,1,1,1,1,2,0,0,0,1,10,1,1.3125,10,0,2.97928168100892
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.125,1,0,0.372800567539663
0,0,1,1,1,1,0,0,0,1,1,1,0,1,8,1,1.0625,8,0,2.38489110697014
1,1,0,1,1,1,0,1,1,1,1,1,0,1,11,1,1.4375,11,0,3.2486818345724
1,1,1,1,0,1,1,0,1,1,1,1,1,1,12,1,1.5625,12,0,3.53690663095336
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.125,1,0,0.372800567539663
1,1,1,1,1,0,0,1,1,1,1,1,1,1,12,1,1.5625,12,0,3.53690663095336
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,3,1,0,2,1,1,1,1,1,1,1,16,1,2.0625,16,0,4.7376942205864
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.125,1,0,0.372800567539663
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,2,1,2,1,2,2,2,2,1,2,1,2,1,22,2,2.875,22,1,6.44364486998828
1,0,1,0,0,0,1,0,1,1,0,1,1,0,7,1,0.9375,7,0,2.09745760365324
1,1,1,1,1,1,1,1,1,1,0,1,1,1,13,1,1.6875,13,0,3.82522323336661
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,0,1,1,1,1,0,1,0,1,11,1,1.4375,11,0,3.2486818345724
1,0,1,1,1,1,0,0,1,1,0,1,0,1,9,1,1.1875,9,0,2.67262646104771
1,1,1,1,1,1,1,1,1,1,0,1,1,1,13,1,1.6875,13,0,3.82522323336661
3,1,2,2,1,1,2,1,1,2,1,2,2,2,23,2,3,23,1,6.74515203856754
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.125,1,0,0.372800567539663
1,0,1,0,1,0,1,1,0,1,1,1,0,1,9,1,1.1875,9,0,2.67262646104771
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,1,1,1,1,1,1,1,1,1,0,1,0,1,12,1,1.5625,12,0,3.53690663095336
0,0,0,1,0,0,0,0,1,0,1,0,0,0,3,0,0.375,3,0,0.95785647937868
5,6,3,10,2,10,7,7,8,3,6,11,5,2,85,6,11,85,2,25.0451055086921
4,4,3,4,1,4,4,4,4,3,4,4,4,2,49,4,6.375,49,1,14.3807387477078
2,2,1,2,2,2,2,2,2,2,2,2,2,2,27,2,3.5,27,1,7.9067111918512
2,2,2,2,2,2,2,2,2,2,2,2,2,1,27,2,3.5,27,1,7.9067111918512
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
1,0,1,1,1,0,1,1,1,1,1,1,0,1,11,1,1.4375,11,0,3.2486818345724
1,1,1,0,1,0,0,0,0,2,0,1,0,1,8,1,1.0625,8,0,2.40807323460404
2,1,2,2,1,1,1,1,1,1,1,1,1,1,17,1,2.1875,17,1,4.9860207541211
1,0,0,1,0,0,1,0,0,2,1,0,1,0,7,0,0.875,7,0,2.14191752234175
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.125,1,0,0.372800567539663
1,2,1,1,2,1,1,2,1,1,2,2,1,1,19,1,2.4375,19,1,5.5791278512335
1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1.8125,14,1,4.08807737753786
