id,feature,fc,pval,qval,chr,strand,start,end,t_name,num_exons,length,gene_id,gene_name,cov.S12M,FPKM.S12M,cov.S13M,FPKM.S13M,cov.S16F,FPKM.S16F,cov.S19F,FPKM.S19F,cov.S22F,FPKM.S22F,cov.S23M,FPKM.S23M,cov.S29F,FPKM.S29F,cov.S31M,FPKM.S31M,cov.S35F,FPKM.S35F,cov.S36F,FPKM.S36F,cov.S39F,FPKM.S39F,cov.S3F,FPKM.S3F,cov.S41F,FPKM.S41F,cov.S44F,FPKM.S44F,cov.S48M,FPKM.S48M,cov.S50F,FPKM.S50F,cov.S52F,FPKM.S52F,cov.S53F,FPKM.S53F,cov.S54F,FPKM.S54F,cov.S59M,FPKM.S59M,cov.S64M,FPKM.S64M,cov.S6M,FPKM.S6M,cov.S76F,FPKM.S76F,cov.S77F,FPKM.S77F,cov.S7M,FPKM.S7M,cov.S9M,FPKM.S9M
10109,transcript,28.3595497488644,9.25609588975362e-11,4.47814399129916e-08,NC_035781.1,-,29092829,29097537,rna-XM_022463945.1,8,2316,gene-LOC111122290,LOC111122290,4.075449,4.766459,5.647519,9.219391,0,0,0,0,0.376511,0.128074,8.554403,13.464708,0.326251,0.187411,2.523862,4.278411,0.249286,0.122228,0.248273,0.116145,0,0,0.153693,0.062322,0.620095,0.295744,0.429794,0.170212,15.055367,11.204587,0,0,1.161336,0.591105,0.550813,0.252648,0.583827,0.304651,49.037346,30.874021,37.465889,29.79741,12.738559,13.056171,0.382107,0.133268,0,0,11.89434,15.026514,12.052408,13.591285
10114,transcript,0.236813356620592,0.00020308251307033,0.00553547333470639,NC_035781.1,+,29124654,29135388,rna-XM_022461672.1,26,5132,gene-LOC111120737,LOC111120737,7.724091,9.033744,3.963681,6.47058,43.506531,15.922268,169.958572,63.826408,140.920105,47.93544,4.619342,7.270886,40.822491,23.449942,4.151862,7.03817,108.673767,53.284269,110.757996,51.814057,116.106491,44.435611,153.391327,62.199962,55.362885,26.40437,55.1325,21.834271,11.873817,8.836796,79.65081,35.79362,41.082333,20.910372,80.587555,36.964113,75.459564,39.376043,7.706936,4.852304,7.851649,6.244582,6.50813,6.670398,156.578781,54.610167,148.062927,44.411984,5.657471,7.147271,6.047409,6.819555
10132,transcript,0.0419026783411847,4.12954257218434e-05,0.00151877239654812,NC_035781.1,+,29287626,29294138,rna-XM_022463492.1,11,1813,gene-LOC111121984,LOC111121984,0,0,0,0,6.161668,2.255011,92.830063,34.861492,56.073708,19.074055,0,0,21.323454,12.248977,0,0,162.535736,79.693546,107.190536,50.145152,133.829224,51.218354,213.458282,86.557026,101.159355,48.246204,75.563461,29.925599,0,0,131.392319,59.045309,44.840965,22.823466,45.581879,20.907617,96.19091,50.194001,0,0,0,0,0,0,232.166992,80.973157,106.573433,31.967068,0,0,0,0
10145,transcript,0.293755205706538,1.18710537455602e-06,9.41731133847419e-05,NC_035781.1,-,29328952,29335351,rna-XM_022457996.1,8,1856,gene-LOC111118491,LOC111118491,0,0,0,0,7.277189,2.663263,10.397089,3.904533,25.339172,8.619383,0,0,7.235331,4.15624,0,0,10.827587,5.308917,7.889713,3.690912,11.262392,4.310278,13.732461,5.568493,8.634159,4.117913,5.94894,2.355975,0,0,6.090209,2.736829,7.909483,4.025824,9.71621,4.456657,6.919788,3.610859,0.757095,0.476669,0.199961,0.159033,0,0,10.862576,3.788554,15.793642,4.737357,0,0,0,0
10149,transcript,2.16660040655154,0.000236119373466792,0.0062592602851515,NC_035781.1,+,29356501,29369266,rna-XM_022463405.1,3,1918,gene-LOC111121917,LOC111121917,13.9277,16.289202,12.071633,19.706548,0,0,0.278593,0.104623,0.738944,0.251359,10.760708,16.937453,1.293614,0.743099,6.528873,11.067641,0,0,0,0,0,0,0.282023,0.11436,1.091281,0.520468,1.167362,0.462313,23.455269,17.456007,0.537018,0.241326,1.027202,0.522832,0.662669,0.303955,1.088703,0.568103,2.852526,1.795957,7.265214,5.778178,20.217348,20.72143,0.448384,0.156383,0.516163,0.154825,17.457493,22.054629,16.216202,18.28672
10151,transcript,0.117289023853165,0.000325532905161574,0.00800918980446492,NC_035781.1,+,29382511,29399361,rna-XM_022458635.1,25,4026,gene-LOC111118920,LOC111118920,9.404901,10.999543,6.431953,10.499954,29.993971,10.977019,53.098301,19.940588,36.28286,12.341992,7.540169,11.868295,13.58283,7.802478,5.552789,9.412999,28.852018,14.146548,21.511833,10.06352,83.328857,31.891143,50.343292,20.414132,50.389015,24.032169,23.72607,9.396299,13.559464,10.091298,22.95857,10.317162,15.41427,7.845662,109.870743,50.395803,23.756586,12.396578,0.281269,0.177088,3.040632,2.418279,11.820457,12.115178,83.908913,29.265011,55.325066,16.594944,7.536839,9.521538,9.999068,11.27577
10163,transcript,0.522489615081867,6.26634167635309e-05,0.00213009150479337,NC_035781.1,+,29490795,29525003,rna-XM_022457367.1,18,3693,gene-LOC111118072,LOC111118072,10.575131,12.36819,7.494949,12.23526,54.226013,19.845321,79.956268,30.026855,57.69072,19.624099,8.225071,12.946337,31.29591,17.977523,6.689966,11.340723,48.523735,23.791866,63.971104,29.926529,65.887955,25.216261,61.486343,24.932624,45.34383,21.625955,68.085533,26.964095,17.460558,12.994591,62.329025,28.009526,43.702763,22.244137,39.482079,18.109744,50.518318,26.36129,16.094828,10.133339,16.069338,12.780283,11.526499,11.813891,74.184669,25.873475,94.103516,28.226673,10.544551,13.321281,11.878065,13.394681
10164,transcript,0.114366863133543,0.000676362230091598,0.0142976202907835,NC_035781.1,-,29529719,29534918,rna-XM_022464171.1,10,1839,gene-LOC111122398,LOC111122398,0,0,0,0,23.434034,8.576252,11.958158,4.490778,53.073196,18.0534,0,0,11.493924,6.602533,0,0,43.798885,21.475206,31.878122,14.913007,21.315369,8.157696,19.21279,7.790759,23.36635,11.144176,21.36215,8.460109,1.198235,0.891757,15.625006,7.021592,23.174587,11.795563,15.226824,6.98428,0.000113,5.9e-05,0,0,0,0,0.073321,0.075149,40.052849,13.96928,32.853668,9.854571,0,0,0.642131,0.72412
10166,transcript,0.31962812489445,0.000304348638686447,0.00762899990469845,NC_035781.1,+,29535283,29540718,rna-XM_022459046.1,8,1685,gene-LOC111119168,LOC111119168,5.137175,6.008205,3.731315,6.09125,52.980507,19.389498,141.199203,53.026086,180.032166,61.239815,4.137872,6.513048,41.183182,23.657136,3.960823,6.714324,126.786667,62.165277,106.387817,49.769629,172.824844,66.142534,120.643837,48.920902,74.386063,35.477146,63.767464,25.253999,9.731153,7.242171,79.946487,35.926492,71.285461,36.28337,135.326691,62.072004,70.34095,36.705066,14.280514,8.991043,12.865479,10.232186,6.184006,6.338193,107.465683,37.480934,111.954422,33.581114,6.132576,7.747486,5.375998,6.062417
10167,transcript,0.258985206278993,0.000303543548690111,0.00761940419791347,NC_035781.1,-,29541872,29546122,rna-XM_022459047.1,7,1981,gene-LOC111119169,LOC111119169,7.986197,9.340291,5.133682,8.380569,434.307373,158.94529,222.105331,83.409653,273.058472,92.883681,5.98614,9.422239,178.444977,102.505363,4.692986,7.955475,207.840393,101.907054,194.940948,91.195956,293.105499,112.175657,265.897736,107.821149,162.120636,77.320633,153.082962,60.625853,9.352469,6.960345,182.560852,82.039514,394.275177,200.680924,174.021545,79.820662,144.065781,75.175897,41.114677,25.885891,32.415531,25.780754,7.180559,7.359593,179.45163,62.587558,246.501007,73.938825,6.341581,8.011529,6.056117,6.829375
10178,transcript,0.211828592616205,8.46414829371867e-05,0.00273658493296865,NC_035781.1,+,29601894,29612296,rna-XM_022458355.1,22,4896,gene-LOC111118745,LOC111118745,7.277551,8.511491,6.895468,11.256627,83.518669,30.565677,348.373596,130.82856,270.82663,92.124497,5.051169,7.950586,72.336708,41.552868,5.065564,8.587063,195.637421,95.923766,224.0186,104.798866,200.349274,76.676526,252.962845,102.57607,156.492844,74.636555,135.217407,53.55051,12.232002,9.103367,162.284821,72.927836,59.418709,30.243348,143.977051,66.039774,182.634277,95.301574,13.414726,8.445941,12.250715,9.743251,11.822054,12.116815,311.003021,108.468893,312.525085,93.742974,6.703145,8.468305,7.12567,8.03549
10179,transcript,0.362589921888003,0.000827210418155033,0.0166314240716422,NC_035781.1,+,29614300,29629458,gene-LOC111120225,20,5660,gene-LOC111120225,LOC111120225,4.492265,5.253948,2.518489,4.111351,18.941223,6.931999,55.120052,20.699838,43.245293,14.710336,3.249506,5.114752,16.964375,9.744961,3.10895,5.270242,32.880508,16.121773,35.580799,16.645169,20.996698,8.035736,30.116079,12.212027,27.794872,13.256283,17.93716,7.103701,6.223452,4.631651,27.583681,12.395603,14.926404,7.597345,21.365685,9.800069,18.176199,9.48464,3.286373,2.069108,6.096026,4.848298,4.38415,4.493461,42.964596,14.984813,43.582287,13.072657,4.585875,5.793488,5.061906,5.708221
10182,transcript,1.78358390516799,0.000985334546406258,0.0189501949413428,NC_035781.1,+,29658952,29669872,rna-XM_022461569.1,9,4056,gene-LOC111120672,LOC111120672,13.468246,15.751845,11.72693,19.143832,1.151134,0.421285,0.144477,0.054257,0.993648,0.338,10.80595,17.008664,3.164925,1.818049,8.262269,14.006066,0.557581,0.27339,0.176868,0.082741,1.752096,0.670552,0.787229,0.31922,0.963168,0.459366,2.311743,0.915526,26.739933,19.900538,0.774206,0.347914,2.509049,1.277073,1.154841,0.529706,1.34894,0.703899,3.142998,1.978838,8.569644,6.815618,16.060822,16.461269,0.82122,0.286418,0.954512,0.286309,14.330631,18.104361,15.770905,17.784567
10183,transcript,1.51389224933078,0.00318223332325762,0.0451063508770496,NC_035781.1,-,29669895,29685926,rna-XM_022461568.1,9,3900,gene-LOC111120671,LOC111120671,11.504169,13.454751,10.56172,17.241664,0.535036,0.195809,0.425267,0.159705,0.643711,0.218965,11.811237,18.590995,1.900446,1.091686,9.415323,15.960705,0.380919,0.18677,0.295399,0.138192,1.398462,0.535211,0.293435,0.118987,0.915287,0.43653,1.55561,0.616072,24.970791,18.583897,0.796993,0.358154,2.408086,1.225684,0.487193,0.223467,2.032282,1.060478,2.361224,1.486632,6.369239,5.06559,16.600079,17.013971,0.310015,0.108124,0.261744,0.078511,13.261736,16.75399,14.259207,16.079852
10189,transcript,0.513084840405299,0.00107371853224514,0.0201961043266203,NC_035781.1,+,29720091,29738088,rna-XM_022460955.1,15,2286,gene-LOC111120226,LOC111120226,9.275629,10.848352,12.878839,21.024286,40.32328,14.75728,26.496046,9.950351,37.937435,12.904813,8.255518,12.994261,24.916443,14.312922,7.084917,12.010238,20.87499,10.2353,31.396544,14.687719,23.474651,8.984084,21.243261,8.614112,20.906784,9.971129,34.942875,13.83852,18.537083,13.795768,22.275806,10.010341,31.871962,16.222413,21.054531,9.657348,19.973175,10.422332,8.744927,5.505825,13.15583,10.463108,18.282352,18.738189,23.31871,8.132894,38.986416,11.69411,10.174862,12.85424,16.266203,18.343106
102,transcript,8.8277019744845,0.00287233963109701,0.0418386320573182,NC_035780.1,-,625969,660053,rna-XM_022490297.1,15,4088,gene-LOC111138321,LOC111138321,1.015306,1.187456,0,0,0,0,0,0,0,0,4.708504,7.411228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9751,2.532261,0,0,0,0,9.65062,6.076052,27.531763,21.89659,1.447206,1.483289,0,0,0,0,7.001662,8.845432,1.143751,1.289788
10201,transcript,0.393066737466647,0.00202978971023549,0.0325588213005481,NC_035781.1,+,29825129,29831332,rna-XM_022464207.1,6,979,gene-LOC111122417,LOC111122417,5.363327,6.272702,3.360596,5.486064,23.610317,8.640767,33.298771,12.505053,46.430031,15.793658,3.314512,5.217072,19.425152,11.158522,4.198739,7.117635,33.779366,16.562496,38.760979,18.132899,26.036261,9.964449,25.322266,10.268142,33.531666,15.992348,37.405006,14.813604,8.441751,6.282566,47.887642,21.519832,58.227272,29.636922,50.159348,23.007222,28.878447,15.069249,8.339122,5.250329,12.278855,9.765632,5.788017,5.932331,24.806944,8.651947,38.208374,11.460733,4.427559,5.593482,6.122586,6.904331
10219,transcript,3.63376031175905,0.000766736246561539,0.0157125286291567,NC_035781.1,-,29960221,29963191,rna-XM_022462985.1,2,1070,gene-LOC111121628,LOC111121628,10.253127,11.991589,7.096262,11.584417,0,0,1.037774,0.389727,2.773832,0.943548,10.83532,17.054892,1.385981,0.796159,4.069644,6.898795,1.147844,0.562804,1.614019,0.755059,0,0,1.558879,0.632123,0.535514,0.255404,1.201869,0.475979,20.140186,14.988838,0,0,1.990654,1.013217,0,0,1.878505,0.980235,15.921495,10.024208,2.336341,1.858141,13.229906,13.559769,0,0,0.505607,0.151659,10.570917,13.35459,14.564166,16.423749
10220,transcript,58.6128398617387,9.85439356782081e-08,1.16901159038004e-05,NC_035781.1,+,29963178,29965489,rna-XM_022462984.1,5,817,gene-LOC111121627,LOC111121627,8.481029,9.919024,5.169906,8.439703,1.732558,0.634072,6.992656,2.626029,11.048958,3.758418,10.515203,16.551025,7.541003,4.33183,6.661734,11.292865,5.835985,2.861465,7.067319,3.306185,9.048959,3.463166,8.826194,3.579009,4.898409,2.336211,3.182375,1.260324,13.004496,9.678276,1.675235,0.75282,12.225215,6.222475,4.610771,2.114881,3.403917,1.77622,294.785583,185.597649,196.488373,156.271336,7.702747,7.894801,6.104039,2.128913,4.801713,1.44029,21.550797,27.225836,10.031824,11.312708
10224,transcript,0.100930438948575,2.55897188417009e-06,0.000178899452703996,NC_035781.1,-,29971940,30005487,rna-XM_022459053.1,73,12119,gene-LOC111119175,LOC111119175,11.014623,12.8822,8.547617,13.953707,109.859932,40.2059,306.504608,115.105039,194.441544,66.141315,8.359267,13.157562,87.020805,49.987954,5.950968,10.087986,186.30928,91.350048,89.523132,41.880106,216.12355,82.713567,161.368576,65.434725,134.514175,64.154209,163.384689,64.705674,17.62907,13.120002,157.993149,70.999237,59.255531,30.160293,98.846268,45.339067,190.070511,99.181923,4.719898,2.971658,9.446569,7.513055,11.080798,11.357077,389.568604,135.870304,286.196716,85.845689,9.075145,11.464931,11.732929,13.231014
10227,transcript,21.8338692106092,8.21279565021982e-07,6.88994508810206e-05,NC_035781.1,-,30013267,30023796,rna-XM_022459405.1,20,2148,gene-LOC111119334,LOC111119334,1.138867,1.331967,0,0,0,0,0,0,0.059829,0.020351,0.064103,0.100899,0,0,0,0,0,0,0.00036,0.000168,0,0,0,0,0,0,11.172781,4.424786,0,0,0,0,0.147917,0.075288,0,0,0,0,42.899475,27.009603,8.768742,6.973965,0.320979,0.328982,0,0,0,0,0.387225,0.489194,0.057345,0.064667
10247,transcript,0.30969078155002,0.000290781978884214,0.00737912449222264,NC_035781.1,-,30132548,30136861,rna-XM_022457336.1,8,1533,gene-LOC111118049,LOC111118049,5.985887,7.00082,6.73798,10.999533,41.961189,15.356712,67.380959,25.304311,154.811478,52.660735,6.830579,10.751394,39.541096,22.713861,5.665642,9.604306,68.959541,33.811828,79.869209,37.363873,76.142532,29.140834,56.624424,22.961122,75.083153,35.809611,89.695694,35.522425,9.944147,7.400687,91.235489,40.999563,35.109592,17.870325,108.744949,49.87942,62.099155,32.404362,11.206459,7.055611,10.599805,8.430248,11.414741,11.699347,64.631439,22.541584,79.787354,23.932491,6.951549,8.782122,8.851208,9.981349
10249,transcript,0.288931655352925,0.00164277938330948,0.0276647324224707,NC_035781.1,-,30138318,30149290,rna-XM_022460511.1,29,3164,gene-LOC111119931,LOC111119931,6.030941,7.053513,3.624432,5.916767,14.838338,5.430449,49.348446,18.532364,44.725037,15.213687,2.558115,4.026496,15.109358,8.679371,3.608531,6.117124,37.704647,18.487116,52.240475,24.438786,44.707703,17.110276,44.877388,18.197716,30.041515,14.327781,17.582022,6.963055,7.302171,5.434461,29.090395,13.072692,13.551133,6.89735,25.756927,11.814255,28.480516,14.861602,2.698939,1.699258,4.299016,3.419098,5.245027,5.375802,45.510109,15.872615,67.554993,20.263352,3.426356,4.328629,4.564911,5.147768
10253,transcript,0.307878746431874,0.0022045830805566,0.0346184812684026,NC_035781.1,+,30169328,30190960,rna-XM_022459493.1,50,6722,gene-LOC111119382,LOC111119382,10.723408,12.541608,6.607458,10.78646,68.158104,24.944107,377.986176,141.949297,300.823669,102.328301,7.761207,12.216211,86.746498,49.830382,5.787639,9.811113,218.914307,107.336749,227.183685,106.279535,328.426178,125.693385,252.338776,102.323011,162.909027,77.696642,101.94281,40.372683,15.47959,11.520304,193.269012,86.851565,87.214111,44.390845,163.012848,74.771164,178.593536,93.193048,21.943172,13.815469,21.880316,17.401876,10.803402,11.072765,320.581116,111.809456,388.435059,116.512432,10.300473,13.012929,9.192841,10.366602
10254,transcript,55.2309303225244,4.2319163839899e-08,5.80333183101931e-06,NC_035781.1,+,30193708,30202896,rna-XM_022463822.1,11,1521,gene-LOC111122197,LOC111122197,20.663601,24.167204,6.74022,11.00319,3.541779,1.2962,49.924435,18.748671,29.359257,9.986857,22.968678,36.152909,9.698882,5.571395,5.197027,8.809917,27.811691,13.636461,17.414265,8.146624,18.800688,7.195292,18.784006,7.616887,14.746021,7.03286,16.389267,6.490685,12.563302,9.349929,29.16151,13.10465,15.159326,7.715899,18.101688,8.30293,10.9511,5.714464,425.410645,267.839474,343.853729,273.474104,16.940069,17.362438,30.049641,10.480449,49.296719,14.78672,23.237534,29.356747,11.217356,12.649611
10255,transcript,0.153916020193663,0.000208704828494111,0.00566832775416633,NC_035781.1,-,30208643,30219181,rna-XM_022460856.1,15,2994,gene-LOC111120135,LOC111120135,12.55629,14.685263,14.955472,24.414322,140.105896,51.275142,639.839905,240.286102,780.933411,265.642626,14.133875,22.246848,228.576813,131.302935,6.878502,11.660327,533.270508,261.469994,628.662292,294.096541,880.394104,336.939388,495.003296,200.723124,462.424011,220.545132,627.48584,248.50489,26.434975,19.67358,733.213257,329.492651,151.867538,77.298597,500.904022,229.75598,545.215515,284.502435,24.725285,15.567094,33.881428,26.946612,22.84771,23.417375,1166.485596,406.836566,1048.604248,314.53245,15.64145,19.760362,14.712027,16.590489
10259,transcript,0.332691642366947,2.0196851810983e-05,0.000862404228559724,NC_035781.1,-,30255360,30274222,rna-XM_022459298.1,20,5056,gene-LOC111119285,LOC111119285,8.322867,9.734045,5.799552,9.46758,37.72131,13.805026,92.342163,34.678266,80.608772,27.419913,7.240141,11.396048,69.655083,40.012444,5.170085,8.764245,49.679382,24.358496,67.393105,31.527387,67.549934,25.852324,80.470726,32.630764,73.509727,35.059193,57.189449,22.64889,14.761561,10.985929,63.799839,28.670483,41.957779,21.355962,57.824478,26.523084,38.123814,19.893634,12.001754,7.556331,11.179867,8.891583,10.480565,10.741879,96.895409,33.794327,100.067261,30.015519,9.533325,12.043765,10.399108,11.726888
10260,transcript,0.348981322820768,0.00327809105511712,0.0460655414353638,NC_035781.1,-,30280081,30289249,rna-XM_022457726.1,16,2133,gene-LOC111118320,LOC111118320,5.305226,6.20475,4.206882,6.867598,10.121659,3.704266,26.122126,9.809929,45.843418,15.594116,2.514613,3.958024,11.839663,6.801138,4.483828,7.600914,23.700422,11.620649,32.928741,15.404501,21.770748,8.331976,22.943508,9.303559,19.341772,9.224724,33.205109,13.150308,8.118934,6.042317,27.01313,12.139207,10.046883,5.113732,23.383968,10.72582,17.82255,9.3001,2.514471,1.583116,4.469531,3.554712,5.728127,5.870947,30.127752,10.507692,49.114162,14.731962,5.185463,6.550967,5.787108,6.526018
10266,transcript,0.355256417468421,1.19729116654366e-06,9.48638919585664e-05,NC_035781.1,-,30350322,30356276,rna-XM_022461819.1,8,1517,gene-LOC111120831,LOC111120831,6.533703,7.641521,4.017827,6.558972,39.642056,14.507969,21.316414,8.005187,47.128216,16.031153,4.093341,6.442956,25.54977,14.676728,3.720403,6.306768,27.057346,13.266595,34.789715,16.275089,43.395851,16.608211,31.083387,12.604269,27.302572,13.021489,28.473082,11.276271,8.063789,6.001277,31.803558,14.291938,26.866184,13.674537,32.344761,14.83598,20.691496,10.797163,5.926829,3.731545,7.999341,6.362044,6.546627,6.709855,35.207645,12.279412,27.600527,8.278873,6.418519,8.108728,6.191087,6.981578
